time,U,C
47.397,0.7956293659136963,0.6762849610266418
47.398,0.7956298029552524,0.6762853325119645
47.399,0.7956302399531067,0.6762857039601406
47.4,0.7956306769072633,0.6762860753711738
47.401,0.7956311138177267,0.6762864467450677
47.402,0.7956315506845012,0.676286818081826
47.403,0.7956319875075912,0.6762871893814525
47.404,0.7956324242870011,0.6762875606439509
47.405,0.7956328610227353,0.676287931869325
47.406,0.7956332977147981,0.6762883030575784
47.407000000000004,0.7956337343631937,0.6762886742087146
47.408,0.7956341709679269,0.6762890453227378
47.409,0.7956346075290016,0.6762894163996513
47.410000000000004,0.7956350440464225,0.6762897874394591
47.411,0.7956354805201938,0.6762901584421648
47.412,0.79563591695032,0.676290529407772
47.413000000000004,0.7956363533368053,0.6762909003362845
47.414,0.795636789679654,0.6762912712277059
47.415,0.7956372259788708,0.6762916420820402
47.416000000000004,0.7956376622344598,0.6762920128992908
47.417,0.7956380984464253,0.6762923836794615
47.418,0.7956385346147719,0.6762927544225561
47.419000000000004,0.7956389707395038,0.6762931251285782
47.42,0.7956394068206254,0.6762934957975316
47.421,0.7956398428581412,0.6762938664294199
47.422000000000004,0.7956402788520552,0.676294237024247
47.423,0.7956407148023722,0.6762946075820163
47.424,0.7956411507090962,0.6762949781027318
47.425000000000004,0.7956415865722318,0.6762953485863971
47.426,0.7956420223917833,0.6762957190330158
47.427,0.7956424581677549,0.6762960894425917
47.428000000000004,0.7956428939001512,0.6762964598151285
47.429,0.7956433295889763,0.6762968301506298
47.43,0.7956437652342347,0.6762972004490995
47.431000000000004,0.7956442008359309,0.6762975707105412
47.432,0.795644636394069,0.6762979409349587
47.433,0.7956450719086535,0.6762983111223555
47.434,0.7956455073796888,0.6762986812727354
47.435,0.795645942807179,0.6762990513861021
47.436,0.7956463781911288,0.6762994214624595
47.437,0.7956468135315423,0.676299791501811
47.438,0.795647248828424,0.6763001615041604
47.439,0.7956476840817781,0.6763005314695114
47.44,0.7956481192916091,0.6763009013978677
47.441,0.7956485544579212,0.676301271289233
47.442,0.795648989580719,0.6763016411436111
47.443,0.7956494246600065,0.6763020109610055
47.444,0.7956498596957884,0.6763023807414201
47.445,0.7956502946880688,0.6763027504848584
47.446,0.7956507296368522,0.6763031201913244
47.447,0.7956511645421429,0.6763034898608214
47.448,0.7956515994039453,0.6763038594933535
47.449,0.7956520342222635,0.676304229088924
47.45,0.7956524689971022,0.6763045986475368
47.451,0.7956529037284655,0.6763049681691957
47.452,0.795653338416358,0.6763053376539043
47.453,0.7956537730607838,0.6763057071016662
47.454,0.7956542076617472,0.6763060765124851
47.455,0.7956546422192529,0.6763064458863649
47.456,0.7956550767333048,0.676306815223309
47.457,0.7956555112039077,0.6763071845233215
47.458,0.7956559456310656,0.6763075537864057
47.459,0.7956563800147829,0.6763079230125655
47.46,0.795656814355064,0.6763082922018043
47.461,0.7956572486519133,0.6763086613541264
47.462,0.7956576829053351,0.6763090304695348
47.463,0.7956581171153336,0.6763093995480336
47.464,0.7956585512819134,0.6763097685896264
47.465,0.7956589854050787,0.6763101375943169
47.466,0.7956594194848339,0.6763105065621088
47.467,0.7956598535211832,0.6763108754930057
47.468,0.7956602875141311,0.6763112443870114
47.469,0.7956607214636818,0.6763116132441296
47.47,0.7956611553698398,0.6763119820643638
47.471000000000004,0.7956615892326093,0.6763123508477179
47.472,0.7956620230519947,0.6763127195941955
47.473,0.7956624568280004,0.6763130883038003
47.474000000000004,0.7956628905606306,0.676313456976536
47.475,0.7956633242498897,0.6763138256124063
47.476,0.795663757895782,0.6763141942114147
47.477000000000004,0.795664191498312,0.6763145627735652
47.478,0.7956646250574838,0.6763149312988612
47.479,0.7956650585733019,0.6763152997873066
47.480000000000004,0.7956654920457706,0.676315668238905
47.481,0.7956659254748942,0.67631603665366
47.482,0.795666358860677,0.6763164050315754
47.483000000000004,0.7956667922031235,0.676316773372655
47.484,0.7956672255022379,0.6763171416769022
47.485,0.7956676587580245,0.6763175099443208
47.486000000000004,0.7956680919704877,0.6763178781749145
47.487,0.7956685251396318,0.676318246368687
47.488,0.7956689582654612,0.676318614525642
47.489000000000004,0.7956693913479802,0.6763189826457832
47.49,0.7956698243871931,0.6763193507291142
47.491,0.7956702573831043,0.6763197187756386
47.492000000000004,0.7956706903357179,0.6763200867853602
47.493,0.7956711232450385,0.6763204547582827
47.494,0.7956715561110703,0.6763208226944097
47.495,0.7956719889338177,0.6763211905937451
47.496,0.795672421713285,0.6763215584562923
47.497,0.7956728544494766,0.676321926282055
47.498,0.7956732871423966,0.6763222940710371
47.499,0.7956737197920495,0.6763226618232421
47.5,0.7956741523984396,0.6763230295386736
47.501,0.7956745849615713,0.6763233972173356
47.502,0.7956750174814488,0.6763237648592314
47.503,0.7956754499580764,0.6763241324643648
47.504,0.7956758823914586,0.6763245000327398
47.505,0.7956763147815996,0.6763248675643596
47.506,0.7956767471285037,0.6763252350592281
47.507,0.7956771794321753,0.676325602517349
47.508,0.7956776116926187,0.676325969938726
47.509,0.7956780439098382,0.6763263373233624
47.51,0.7956784760838381,0.6763267046712624
47.511,0.7956789082146228,0.6763270719824294
47.512,0.7956793403021967,0.6763274392568671
47.513,0.7956797723465638,0.6763278064945792
47.514,0.7956802043477288,0.6763281736955694
47.515,0.7956806363056957,0.6763285408598414
47.516,0.7956810682204691,0.6763289079873988
47.517,0.7956815000920532,0.6763292750782451
47.518,0.7956819319204521,0.6763296421323842
47.519,0.7956823637056705,0.6763300091498199
47.52,0.7956827954477125,0.6763303761305556
47.521,0.7956832271465824,0.676330743074595
47.522,0.7956836588022845,0.6763311099819418
47.523,0.7956840904148234,0.6763314768525999
47.524,0.795684521984203,0.6763318436865725
47.525,0.795684953510428,0.6763322104838638
47.526,0.7956853849935024,0.676332577244477
47.527,0.7956858164334307,0.6763329439684161
47.528,0.7956862478302171,0.6763333106556846
47.529,0.795686679183866,0.6763336773062861
47.53,0.7956871104943818,0.6763340439202244
47.531,0.7956875417617687,0.6763344104975034
47.532000000000004,0.7956879729860309,0.6763347770381263
47.533,0.7956884041671729,0.6763351435420969
47.534,0.7956888353051988,0.676335510009419
47.535000000000004,0.7956892664001133,0.6763358764400963
47.536,0.7956896974519203,0.6763362428341323
47.537,0.7956901284606244,0.6763366091915307
47.538000000000004,0.7956905594262297,0.6763369755122952
47.539,0.7956909903487405,0.6763373417964293
